length-of-text, length-of-pattern, Naive, Boyer-Moore, Horspool
1155,147,17,43,5
1774,48,28,3,3
532,103,7,3,3
1404,113,21,3,4
545,156,7,4,4
616,194,7,5,5
1479,41,25,3,3
47,86,0,2,3
240,187,1,3,4
774,108,11,3,3
1921,106,30,4,3
1938,184,41,6,6
1170,151,17,4,5
1932,107,31,4,4
376,149,4,3,4
1758,76,28,3,17
1871,84,31,4,4
847,140,12,3,4
342,54,5,2,2
1874,105,30,4,4
603,113,8,3,3
224,193,1,3,4
308,31,4,1,2
704,158,9,4,4
1458,17,26,5,5
1787,139,27,4,4
1345,131,20,3,4
1,75,0,2,2
350,92,4,2,2
1937,140,30,3,4
189,71,2,2,2
1714,110,26,4,4
1724,88,27,4,3
695,150,9,3,4
4,63,0,2,2
1741,77,28,3,3
1015,116,15,3,3
1113,174,15,4,4
1338,101,21,3,4
1087,101,16,2,3
958,6,17,8,7
404,198,3,4,5
628,154,8,3,4
946,7,17,7,6
1600,10,28,7,7
956,105,14,3,4
1986,78,31,4,4
279,90,3,2,3
396,152,4,3,3
1051,78,16,3,3
162,172,0,3,4
1273,118,19,4,3
1265,73,19,3,3
309,132,3,3,3
1886,191,27,4,5
747,47,11,3,3
692,18,12,2,3
1557,12,28,6,6
178,57,2,1,2
1502,27,24,4,3
1844,1,33,74,68
527,181,6,4,5
1270,193,18,5,5
1143,144,16,4,4
40,63,0,1,1
1121,89,28,4,3
231,68,3,2,2
899,127,12,3,4
1710,195,25,5,5
1853,48,29,3,3
983,138,14,3,4
1817,154,27,4,4
12,133,0,2,4
1702,121,26,4,4
1362,58,21,3,2
1411,42,23,3,3
1644,39,27,3,3
211,187,1,3,4
267,30,4,2,2
100,64,0,1,2
1835,193,28,4,5
1901,9,34,11,9
1324,46,32,4,5
977,95,18,4,4
1040,21,19,3,3
1323,127,20,4,4
180,109,2,4,4
1325,77,20,5,4
391,140,7,5,6
1328,95,21,3,3
1428,172,21,5,7
155,171,0,4,4
1322,111,20,4,4
1404,185,23,9,8
659,60,9,3,7
1762,192,25,5,6
90,167,0,3,5
1165,60,18,3,3
927,143,15,5,4
1493,84,51,5,3
1639,113,24,3,4
1179,125,17,3,4
1270,116,18,5,4
915,4,15,10,8
852,62,68,3,3
1399,163,19,4,4
1968,55,29,4,3
1331,140,19,3,4
1234,105,18,4,4
270,9,13,2,2
12,158,0,19,6
608,114,7,2,3
50,43,1,1,1
614,146,7,3,3
1419,19,24,5,4
863,84,13,13,4
56,51,0,1,1
158,124,0,2,13
815,111,10,3,3
75,24,1,1,1
316,54,4,2,2
1094,164,15,4,4
989,180,13,4,5
1026,26,16,3,3
1878,33,29,5,4
1560,143,23,5,4
315,108,3,3,3
127,17,2,2,1
1702,35,26,4,4
1244,136,18,4,4
573,31,8,2,2
1526,137,23,4,5
1162,198,16,6,8
1045,135,14,4,4
1292,99,20,5,3
1253,152,18,4,4
1922,1,33,75,82
1601,37,26,4,3
990,28,16,4,2
1202,194,16,5,6
328,159,3,3,3
885,186,11,3,4
622,111,8,3,3
586,120,7,2,3
516,175,5,4,4
1310,34,20,4,3
1428,153,20,4,4
904,122,12,3,3
1051,196,13,5,6
708,90,10,3,2
1778,93,27,4,4
7,184,1,3,5
125,59,2,1,2
1951,32,45,8,6
958,175,13,4,5
1067,65,15,2,3
7,132,0,2,2
1768,53,26,4,3
853,188,23,8,8
256,73,3,2,2
332,50,5,1,2
641,61,9,2,3
1902,181,27,4,5
674,152,8,4,3
1212,23,18,3,3
892,199,11,4,4
349,94,4,2,3
1450,179,19,4,4
1205,139,17,3,3
1311,160,17,4,4
1827,195,26,4,5
80,70,0,1,1
134,105,1,2,3
55,122,0,2,2
1092,41,17,2,2
456,132,5,3,4
811,71,12,2,3
1049,61,15,2,2
324,86,3,2,2
1578,109,23,3,3
907,28,13,2,3
348,16,5,2,2
193,13,3,1,1
1535,189,29,7,7
1172,48,24,4,4
591,2,14,17,10
900,192,11,4,5
245,187,1,3,4
249,185,1,5,6
1442,48,20,3,3
647,67,9,2,2
465,91,6,2,2
1432,185,18,3,4
886,158,11,3,4
125,120,1,2,3
689,39,9,3,2
398,127,3,2,3
727,121,9,2,3
632,54,9,2,2
525,149,8,5,4
1832,188,26,4,5
675,104,13,4,4
658,67,26,5,3
1330,38,28,4,3
1659,92,22,3,3
1796,139,30,6,6
1743,45,25,3,3
1085,155,13,4,4
1311,190,16,4,4
1374,83,18,3,3
501,70,6,2,2
1769,33,25,3,3
126,152,0,3,3
1872,178,24,4,4
1389,86,29,4,4
931,150,17,5,5
352,29,7,2,2
20,196,1,5,6
594,155,9,4,5
185,88,2,3,3
678,115,10,2,3
1101,160,13,4,4
1743,53,24,3,3
726,7,11,5,4
1684,24,23,4,4
1821,113,25,3,3
1037,143,13,3,4
1857,159,25,4,4
773,103,10,2,2
1836,136,24,3,4
1025,146,12,3,3
1084,13,17,4,4
1107,145,14,4,4
1933,133,39,5,6
1631,21,38,6,6
1420,18,33,6,5
2,93,0,3,3
422,128,6,3,4
698,123,13,4,5
1857,94,40,5,5
543,31,11,2,2
44,184,0,5,6
734,33,16,3,3
478,28,10,2,2
